terrain,vx,body_height,clearance,n,valid_rate,bad_rate,mean_cost,std_cost,mean_dx,std_dx,mean_z_p10,mean_abs_dy_per_dx,mean_roll_abs_max,mean_pitch_abs_max,mean_abs_yaw_delta,labels,episodes,group_label
flat_normal,0.1,0.3399999999999999,0.06,4,1.0,0.0,-0.14479904946709124,0.06704706994018052,0.114561895155843,0.027364701787943698,0.33402410763465645,0.18399005795861792,0.016401897118536,0.03521374050651445,0.008626605508773824,"{'preferred_balanced_flat': 2, 'acceptable_slow_flat': 1, 'preferred_fast_flat': 1}","['flat_normal_flat_refine_vx010_h034_c006_r1_20260629_172158', 'flat_normal_flat_refine_vx010_h034_c006_r2_20260629_172214', 'flat_normal_gms_conservative_flat_v1_r1_20260629_174023', 'flat_normal_gms_conservative_flat_v1_r2_20260629_174039']",preferred_balanced
flat_normal,0.12,0.32,0.06,4,1.0,0.0,-0.10918058266516044,0.11290941441914606,0.11097658610239623,0.03810304219085596,0.31912640895422095,0.1325215592640074,0.01838896843207185,0.05050019721681037,0.011798551332885852,"{'preferred_fast_flat': 2, 'variable_or_unknown': 1, 'acceptable_slow_flat': 1}","['flat_normal_flat_refine_vx012_h032_c006_r1_20260629_172231', 'flat_normal_flat_refine_vx012_h032_c006_r2_20260629_172248', 'flat_normal_gms_fast_flat_v1_r1_20260629_173911', 'flat_normal_gms_fast_flat_v1_r2_20260629_173936']",acceptable
flat_normal,0.1,0.32,0.06,6,1.0,0.16666666666666666,0.19800842513807262,0.8293786188352926,0.11384364325779163,0.023622486029355936,0.3407946608689821,0.13132558291464588,0.015421074328558349,0.04066178707563981,0.010297607767531716,"{'preferred_balanced_flat': 3, 'acceptable_slow_flat': 1, 'preferred_fast_flat': 1, 'variable_forward_with_lateral_drift': 1}","['flat_normal_flat_probe_vx010_h032_c006_r1_20260629_170549', 'flat_normal_flat_probe_vx010_h032_c006_r2_20260629_170605', 'flat_normal_flat_refine_vx010_h032_c006_r1_20260629_172123', 'flat_normal_flat_refine_vx010_h032_c006_r2_20260629_172141', 'flat_normal_gms_acceptable_flat_v1_r1_20260629_174055', 'flat_normal_gms_acceptable_flat_v1_r2_20260629_174111']",acceptable
flat_normal,0.0899999999999999,0.32,0.05,4,1.0,0.25,0.38885713617437495,0.9835961642570565,0.10266514505615727,0.004398712700695473,0.3408766257399971,0.20070995495533994,0.01964432607934345,0.04066351311928147,0.004657084360940275,"{'preferred_balanced_flat': 3, 'variable_forward_with_lateral_drift': 1}","['flat_normal_flat_refine_vx009_h032_c005_r1_20260629_172015', 'flat_normal_flat_refine_vx009_h032_c005_r2_20260629_172032', 'flat_normal_gms_balanced_flat_v1_r1_20260629_173951', 'flat_normal_gms_balanced_flat_v1_r2_20260629_174007']",acceptable
flat_normal,0.1,0.32,0.04,2,1.0,0.5,2.4564397542690717,3.7499100933554965,0.07112580184797145,0.08286048960967923,0.3504287092456868,1.5755626585832527,0.01857714445921855,0.043712577144848996,0.0065709694486419,"{'preferred_balanced_flat': 1, 'negative_lateral_drift': 1}","['flat_normal_flat_refine_vx010_h032_c004_r1_20260629_172049', 'flat_normal_flat_refine_vx010_h032_c004_r2_20260629_172106']",avoid_variable_or_bad
flat_normal,0.08,0.32,0.04,4,1.0,0.5,3.730428695789853,4.3819173992622,0.051698424510952974,0.034986588877861005,0.31063972287762887,2.611516834596218,0.05200674443386402,0.1399631293743395,0.05733841762431725,"{'preferred_balanced_flat': 1, 'negative_low_height': 1, 'negative_unstable_attitude': 1, 'variable_or_unknown': 1}","['flat_normal_flat_probe_vx008_h032_c004_r1_20260629_170622', 'flat_normal_flat_probe_vx008_h032_c004_r2_20260629_170638', 'flat_normal_flat_refine_vx008_h032_c004_r1_20260629_171942', 'flat_normal_flat_refine_vx008_h032_c004_r2_20260629_171959']",avoid_variable_or_bad
flat_normal,0.06,0.32,0.06,2,1.0,0.5,4.51635658753396,6.54719388401192,0.04364519392807155,0.06211307571983503,0.30785155182850693,14.95466822081252,0.0172210055014724,0.0482645371611921,0.00677332674513365,"{'negative_low_height': 1, 'acceptable_slow_flat': 1}","['flat_normal_flat_probe_vx006_h032_c006_r1_20260629_170655', 'flat_normal_flat_probe_vx006_h032_c006_r2_20260629_170711']",avoid_variable_or_bad
slope5_forward,0.0899999999999999,0.32,0.05,2,1.0,0.0,-0.02616968168316975,0.04233647370212051,0.12463921247339035,0.006983252946467287,0.35106992092453515,0.1470265198011224,0.0231288241662066,0.12195823483489625,0.0068476934524459,{'preferred_balanced_flat': 2},"['slope5_forward_gms_diagnostic_vx009_h032_c005_r1_20260629_175154', 'slope5_forward_gms_diagnostic_vx009_h032_c005_r2_20260629_175210']",preferred_balanced
slope5_forward,0.1,0.32,0.06,2,1.0,0.5,0.9346603413829884,1.5161434579313378,0.16008746470256835,0.006225412750558832,0.3602633560848521,0.30447057580249587,0.038170234360571154,0.12351594724131215,0.015382497981624851,"{'preferred_fast_flat': 1, 'variable_forward_with_lateral_drift': 1}","['slope5_forward_gms_acceptable_vx010_h032_c006_r1_20260629_175120', 'slope5_forward_gms_acceptable_vx010_h032_c006_r2_20260629_175138']",avoid_variable_or_bad
slope5_forward,0.1,0.3399999999999999,0.06,2,1.0,0.5,2.053498000898571,2.9338512784912867,0.10541920558471655,0.04761129942979373,0.29227402009837533,0.10672452951958365,0.0218561646408773,0.14699849840680956,0.01381802187059215,"{'negative_low_height': 1, 'preferred_fast_flat': 1}","['slope5_forward_gms_balanced_vx010_h034_c006_r1_20260629_175048', 'slope5_forward_gms_balanced_vx010_h034_c006_r2_20260629_175104']",avoid_variable_or_bad
